"","year","make","model","vclass","displ","tran","cyl","drive","fueltype","tcharger","scharger","guzzler","cty","hwy","cmb","pv","lv","country"
"737",2010,"Bentley","Continental GTC","Subcompact Cars",6,"Automatic (S6)","12","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,17,12,86,7," Germany"
"738",2010,"Bentley","Continental GT","Compact Cars",6,"Automatic (S6)","12","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,17,13,89,11," Germany"
"739",2010,"Dodge","Challenger","Compact Cars",6.1,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,22,16,91,16," Italy/ United States"
"740",2010,"Audi","S6","Midsize Cars",5.2,"Automatic (S6)","10","All-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,19,16,98,16," Germany"
"741",2010,"Bentley","Continental Flying Spur","Midsize Cars",6,"Automatic (S6)","12","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,10,17,12,102,13," Germany"
"742",2010,"Cadillac","CTS-V","Midsize Cars",6.2,"Manual 6-spd","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,14,19,16,100,16," United States"
"743",2010,"Cadillac","CTS-V","Midsize Cars",6.2,"Automatic (S6)","8","Rear-Wheel Drive","Premium",FALSE,TRUE,TRUE,12,18,14,100,16," United States"
"744",2010,"Cadillac","Funeral Coach / Hearse","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,16,14,113,19," United States"
"745",2010,"Cadillac","Limousine","Large Cars",4.6,"Automatic 4-spd","8","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,12,18,14,113,19," United States"
"746",2010,"Dodge","Charger","Large Cars",6.1,"Automatic 5-spd","8","Rear-Wheel Drive","Premium",FALSE,FALSE,TRUE,13,19,15,104,16," Italy/ United States"
"747",2010,"Ford","Taurus FWD","Large Cars",3.5,"Automatic 6-spd","6","Front-Wheel Drive","Regular",FALSE,FALSE,TRUE,18,28,22,108,21," United States"
"748",2000,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,20,16,NA,NA," United States"
"749",2001,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,21,17,NA,NA," United States"
"750",2002,"Lotus","Esprit V8","Two Seaters",3.5,"Manual 5-spd","8",NA,"Premium",TRUE,FALSE,FALSE,14,21,16,NA,NA," Malaysia"
"751",2002,"Morgan","Plus Eight","Two Seaters",3.9,"Manual 5-spd","8",NA,"Premium",FALSE,FALSE,FALSE,15,22,17,NA,NA," United Kingdom"
"752",2002,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,20,16,NA,NA," United States"
"753",2003,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,20,16,NA,NA," United States"
"754",2004,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,19,16,NA,NA," United States"
"755",2005,"Ford","Crown Victoria Police","Large Cars",4.6,"Automatic 4-spd","8",NA,"Regular",FALSE,FALSE,FALSE,14,20,16,NA,NA," United States"
"756",2010,"Bugatti","Veyron","Two Seaters",8,"Automatic (S7)","16","All-Wheel Drive","Premium",TRUE,FALSE,TRUE,8,14,10,NA,NA," Germany"
"757",2010,"Mercedes-Benz","CL550 4matic","Compact Cars",5.5,"Automatic 7-spd","8","4-Wheel Drive","Premium",FALSE,FALSE,TRUE,14,21,17,91,14," Germany"
